Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL8621;;0;578.65;1;1.4;8p;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCc2ccccn2)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';170;nM;6.77;;;UO_0000065;11.7;0.23;5.37;4.7;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL267888;;0;684.79;1;1.17;11d;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCNS(=O)(=O)c2ccccc2)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';35;nM;7.46;;;UO_0000065;10.89;0.22;6.29;4.21;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL267888;;0;684.79;1;1.17;11d;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCNS(=O)(=O)c2ccccc2)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';2700;nM;5.57;;;UO_0000065;8.13;0.16;4.4;3.14;0;CHEMBL656844;In vitro inhibitory activity against human calpain 1 in Molt-4 cells (intact human T-cell leukemia cell line);B;BAO_0000219;cell-based format;None;None;None;MOLT-4;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;CHEMBL3307557;
CHEMBL197420;;0;491.54;0;1.46;2e;Cc1c(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCN2CCOCC2)oc2ccccc2c1=O;IC50;'=''';8170;nM;5.09;;;UO_0000065;10.35;0.19;3.63;4.31;0;CHEMBL827857;Inhibitory concentration against human plasma mu-calpain;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1139593;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2005;None;
CHEMBL8686;;0;642.71;1;0.05;11b;O=C(NCCNS(=O)(=O)c1ccccc1)C(=O)[C@H](Cc1ccccc1)NC(=O)C1Cc2cc3c(cc2S(=O)(=O)N1)OCCO3;IC50;;;nM;;;Not Determined;UO_0000065;;;;;0;CHEMBL656845;In vitro inhibitory activity against human calpain I in Molt-4 cells (intact human T-cell leukemia cell line); Not determined;B;BAO_0000219;cell-based format;None;None;None;MOLT-4;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;CHEMBL3307557
CHEMBL491898;;0;450.29;1;5.79;16;CC(=O)c1c(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH]c2c(F)ccc(F)c2c1=O;IC50;'>''';30000;nM;;;;UO_0000065;;;;;0;CHEMBL1021956;Inhibition of human erythrocytes mu-calpain after 30 mins by fluorometric assay using pep1 as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138527;1;Scientific Literature;J. Med. Chem.;2009;None;
CHEMBL345543;;0;376.5;0;3.45;Z-t-BuAla-Leu-H;CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)(C)C)NC(=O)OCc1ccccc1;IC50;'=''';140;nM;6.85;;;UO_0000065;18.2;0.35;3.4;8.11;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL117006;;0;457.55;0;0.99;15k;CN1C(C(=O)N[C@H](C=O)Cc2ccccc2)Cc2cc(N3CCOCC3)ccc2S1(=O)=O;IC50;'=''';500;nM;6.3;;;UO_0000065;13.77;0.27;5.31;6.56;0;CHEMBL656196;Inhibitory activity towards human calpain I;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1134781;1;Scientific Literature;J. Med. Chem.;2001;None;
CHEMBL8703;;0;436.53;0;2.5;2;O=C[C@H](Cc1ccccc1)NC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccccc1;IC50;'=''';20;nM;7.7;;;UO_0000065;17.64;0.34;5.2;8.34;1;CHEMBL654081;Inhibitory activity against calpain-I;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1134781;1;Scientific Literature;J. Med. Chem.;2001;None;
CHEMBL523822;;0;484.58;1;5.96;17;CC(=O)c1c(Nc2ccc(Br)cc2Br)[nH]c2c(Cl)ccc(C)c2c1=O;IC50;'=''';3060;nM;5.51;;;UO_0000065;11.38;0.3;-0.45;8.9;0;CHEMBL1021957;Inhibition of human erythrocytes mu-calpain by fluorometric assay using pep2 as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138527;1;Scientific Literature;J. Med. Chem.;2009;None;
CHEMBL491918;;0;431.49;0;1.95;2j;Cc1ccc(=O)[nH]c1C(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)NCCc1ccccc1;IC50;'=''';7410;nM;5.13;;;UO_0000065;11.89;0.22;3.18;4.74;0;CHEMBL973384;Inhibition of human erythrocytes mu-calpain by spectrofluorimeter;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138543;1;Scientific Literature;Eur. J. Med. Chem.;2009;None;
CHEMBL524152;;0;418.45;0;1.3;2i;Cc1ccc(=O)[nH]c1C(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)NCc1ccccn1;IC50;'=''';84750;nM;4.07;;;UO_0000065;9.73;0.18;2.77;3.36;0;CHEMBL973384;Inhibition of human erythrocytes mu-calpain by spectrofluorimeter;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138543;1;Scientific Literature;Eur. J. Med. Chem.;2009;None;
CHEMBL149792;;0;396.49;0;3.25;Z-Phe-Leu-H;CC(C)C[C@@H](C=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1;IC50;'=''';230;nM;6.64;;;UO_0000065;16.74;0.31;3.39;7.86;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL356838;;0;491.59;0;2.41;Z-Glu-Leu-Leu-H;CC(C)C[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)OCc1ccccc1;IC50;'=''';40;nM;7.4;;;UO_0000065;15.05;0.29;4.99;4.9;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL99195;;0;380.51;0;2.76;Z-Leu-Met;CSCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1;IC50;'=''';33;nM;7.48;;;UO_0000065;19.66;0.39;4.72;8.85;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL465173;;0;398.46;0;1.81;4i-9;COc1ccc(OC)c(CCCC(=O)N[C@@H](Cc2ccccc2)C(=O)C(N)=O)c1;IC50;'=''';1860;nM;5.73;;;UO_0000065;14.38;0.27;3.92;5.32;0;CHEMBL1013486;Inhibition of human erythrocytes mu-calpain;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1154513;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None;
CHEMBL150933;;0;327.43;0;0.38;Ac-Leu-Leu-Gly-H;CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)NCC=O;IC50;'~''';1000;nM;;;;UO_0000065;;;;;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL521771;;0;406.23;0;5;5;CC(=O)c1c(Nc2ccc(C)cc2Cl)[nH]c2c([N+](=O)[O-])cc(Cl)cc2c1=O;IC50;'=''';3730;nM;5.43;;;UO_0000065;13.36;0.27;0.43;5.16;0;CHEMBL1021956;Inhibition of human erythrocytes mu-calpain after 30 mins by fluorometric assay using pep1 as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138527;1;Scientific Literature;J. Med. Chem.;2009;None;
CHEMBL491513;;0;372.4;1;5.28;8;CC(=O)c1c(Nc2cccc(F)c2)[nH]c2c(-c3ccccc3)cccc2c1=O;IC50;'>''';30000;nM;;;;UO_0000065;;;;;0;CHEMBL1021956;Inhibition of human erythrocytes mu-calpain after 30 mins by fluorometric assay using pep1 as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138527;1;Scientific Literature;J. Med. Chem.;2009;None;
CHEMBL424142;;0;386.45;0;1.98;Z-Leu-His-H;CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1c[nH]cn1;IC50;'=''';15;nM;7.82;;;UO_0000065;20.25;0.38;5.84;6.91;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL253315;;0;511.58;1;3.11;3k;COc1ccc(CCNC(=O)C(=O)[C@H](Cc2ccccc2)NC(=O)c2[nH]c3ccccc3c(=O)c2C)cc1;IC50;'=''';730;nM;6.14;;;UO_0000065;12;0.22;3.03;5.23;0;CHEMBL928702;Inhibition of human mu-calpain;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1140783;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2008;None;
CHEMBL401985;;0;497.55;0;3.07;3f;COc1ccc(CNC(=O)C(=O)[C@H](Cc2ccccc2)NC(=O)c2[nH]c3ccccc3c(=O)c2C)cc1;IC50;'=''';3810;nM;5.42;;;UO_0000065;10.89;0.2;2.35;4.62;0;CHEMBL928702;Inhibition of human mu-calpain;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1140783;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2008;None;
CHEMBL126718;;0;409.8;0;3.65;21;NC(=O)c1cn(-c2ccc(O)cc2Cl)c2cc(-c3ccnc(F)c3)ccc2c1=O;IC50;'=''';30000;nM;4.52;;;UO_0000065;11.04;0.21;0.87;4.61;0;CHEMBL656843;In vitro inhibitory activity against human erythrocyte Calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1153663;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1995;None;
CHEMBL340384;;0;391.81;0;3.51;8;NC(=O)c1cn(-c2ccc(O)cc2Cl)c2cc(-c3ccncc3)ccc2c1=O;IC50;'=''';500;nM;6.3;;;UO_0000065;16.08;0.31;2.79;6.42;0;CHEMBL656843;In vitro inhibitory activity against human erythrocyte Calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1153663;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1995;None;
CHEMBL266784;;0;492;0;1.71;(text) (pg no 1038);CCNC(=O)C(=O)[C@H](Cc1ccccc1)NC(=O)C1Cc2cc(Cl)ccc2S(=O)(=O)N1CC;IC50;'=''';1000;nM;6;;;UO_0000065;12.2;0.25;4.29;5.33;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL274356;;0;595.68;1;1.09;8m;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCn2ccnc2)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';5000;nM;5.3;;;UO_0000065;8.9;0.17;4.21;3.56;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL149406;;0;412.49;0;2.96;Z-Tyr-Leu-H;CC(C)C[C@@H](C=O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1;IC50;'>''';1000;nM;;;;UO_0000065;;;;;0;CHEMBL656195;Inhibitory activity evaluated against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130294;1;Scientific Literature;Bioorg. Med. Chem. Lett.;1997;None;
CHEMBL8641;;0;739.66;1;2.09;11g;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCNS(=O)(=O)c2ccc(Cl)c(Cl)c2)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';56;nM;7.25;;;UO_0000065;9.8;0.21;5.16;4.09;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL8391;;0;753.68;1;2.48;11h;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCNS(=O)(=O)c2ccc(Cl)c(Cl)c2)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';56;nM;7.25;;;UO_0000065;9.62;0.2;4.77;4.09;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
CHEMBL461669;;0;502.57;1;3.25;4c-1;COCOc1ccccc1C(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)NCc1ccccc1;IC50;'=''';4290;nM;5.37;;;UO_0000065;10.68;0.2;2.12;4.84;0;CHEMBL1013486;Inhibition of human erythrocytes mu-calpain;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1154513;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None;
CHEMBL514112;;0;502.57;1;3.28;4.00E-001;COc1ccc(C(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCc2ccccc2)c(OC)c1;IC50;'=''';6160;nM;5.21;;;UO_0000065;10.37;0.19;1.93;4.7;0;CHEMBL1013486;Inhibition of human erythrocytes mu-calpain;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1154513;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None;
CHEMBL457768;;0;412.44;0;1.45;4.00E-002;COc1ccc(C(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)C(N)=O)c(OC)c1;IC50;'=''';1180;nM;5.93;;;UO_0000065;14.37;0.27;4.48;4.75;0;CHEMBL1013486;Inhibition of human erythrocytes mu-calpain;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1154513;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None;
CHEMBL465169;;0;562.62;1;3.3;4i-4;COc1ccc(OC)c(C(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCc2ccc(OC)c(OC)c2)c1;IC50;'=''';1640;nM;5.79;;;UO_0000065;10.28;0.19;2.49;4.48;0;CHEMBL1013486;Inhibition of human erythrocytes mu-calpain;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1154513;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None;
CHEMBL8688;;0;612.71;1;0.82;8n;CCN1C(C(=O)N[C@@H](Cc2ccccc2)C(=O)C(=O)NCCCN2CCCC2=O)Cc2cc3c(cc2S1(=O)=O)OCCO3;IC50;'=''';500;nM;6.3;;;UO_0000065;10.28;0.2;5.48;4.16;0;CHEMBL654079;In vitro inhibitory activity against recombinant human calpain 1;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL3891;Calpain 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1146668;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2004;None;
