"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4565897";"";"0";"508.67";"1";"3.88";"443";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4cncc(N)c4)ccc3s1)CCNC2";"IC50";"'<'";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4525970";"";"0";"585.78";"1";"3.81";"460";"CNS(=O)(=O)c1ccccc1-c1ccc2nc(-c3c(NC(=O)CCNCCOC)sc4c3CCNC4)sc2c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4558931";"";"0";"508.67";"1";"3.88";"470";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4cncc(N)c4)cc3s1)CCNC2";"IC50";"'<='";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4515001";"";"0";"549.72";"1";"4.86";"480";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4ccccc4NC(C)=O)cc3s1)CCNC2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4532013";"";"0";"618.83";"1";"4.29";"501";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4cccc(C(=O)N5CCN(C)CC5)c4)cc3s1)CCNC2";"IC50";"'<='";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4547562";"";"0";"496.66";"0";"3.64";"503";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4ccnn4C)ccc3s1)CCNC2";"IC50";"'<='";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4555792";"";"0";"521.71";"2";"5.25";"517";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3ccc(-c4ccncc4)cc3s1)C[C@@H](C)N[C@H]2C";"IC50";"'<'";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4529211";"";"0";"521.71";"2";"5.25";"526";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4cccnc4)ccc3s1)C[C@H](C)N[C@H]2C";"IC50";"'<='";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4573853";"";"0";"521.71";"2";"5.25";"533; Ex 105";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4cccnc4)ccc3s1)C[C@H](C)N[C@@H]2C";"IC50";"'<='";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4547945";"";"0";"477.66";"1";"5.06";"535";"CC(C)NCCC(=O)Nc1sc2c(c1-c1nc3c(-c4ccncc4)cccc3s1)CCNC2";"IC50";"'<'";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4554002";"";"0";"398.56";"0";"3.75";"562";"O=C(C[C@H]1CCCN1)Nc1sc2c(c1-c1nc3ccccc3s1)CCNC2";"IC50";"'<='";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4518125";"";"0";"524.72";"1";"4.59";"567";"COCCNCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4cnn(C)c4)ccc3s1)C[C@H](C)N[C@@H]2C";"IC50";"'<='";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4549979";"";"0";"505.71";"2";"5.84";"589; Ex 119";"CC[C@H](C)NCCC(=O)Nc1sc2c(c1-c1nc3cc(-c4ccncc4)ccc3s1)C[C@@H](C)NC2";"IC50";"'<'";"300.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4476997";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476874";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4549708";"";"0";"455.57";"0";"2.88";"180";"Cc1nc(CNCCC(=O)Nc2sc3c(c2-c2nc4cnccc4s2)CCNC3)no1";"IC50";"'<'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4477005";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476876";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4548923";"";"0";"429.57";"0";"2.51";"167";"O=C(CCNC1CC(O)C1)Nc1sc2c(c1-c1nc3cnccc3s1)CCNC2";"IC50";"'<'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4477005";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476876";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4541073";"";"0";"468.65";"0";"2.98";"153";"O=C(CCN[C@H]1C[C@@H]2CNC[C@@H]2C1)Nc1sc2c(c1-c1nc3cnccc3s1)CCNC2";"IC50";"'<'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4477005";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476876";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4548053";"";"0";"459.64";"0";"3.65";"134";"COCC(NCCC(=O)Nc1sc2c(c1-c1nc3cnccc3s1)CCNC2)C(C)C";"IC50";"'<'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4477005";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476876";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4573200";"";"0";"489.65";"0";"2.12";"128";"O=C(CCN1CC2(C1)CS(=O)(=O)C2)Nc1sc2c(c1-c1nc3cnccc3s1)CCNC2";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"12.87";"0.27";"4.18";"6.04";"0";"CHEMBL4477005";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476876";"38";"Patent Bioactivity Data";"";"";"None";""
"CHEMBL4556151";"";"0";"530.59";"0";"4.90";"116";"CCC(C)NCCC(=O)Nc1sc2c(c1-c1nc3cnccc3s1)CCN(C(C)C)C2.Cl.Cl";"IC50";"'<'";"500.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4477005";"Inhibition of human c-Myc assessed as reduction in c-Myc/Max/Ebox DNA complex formation using pre-formed complex of c-Myc and biotinylated DNA containing single Ebox-sequence followed by compound addition and further addition of his6-tagged c-Max and incubated for 2 hrs by AlphaScreen assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1250348";"Myc proto-oncogene protein";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4476876";"38";"Patent Bioactivity Data";"";"";"None";""
