Structure [idcode]	Molecule Name	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	
fawP`@DVAgHhhhhieLXdmdrSEZ\{pTm{UUUUUU@ET@@@	Compound 12	Ajmaline			non-CNS	326.438	1.791	-3.484	1.5804	4	2	215.27	0.22288	1.0395	24	325 <= x < 350	
fcAR@GUGOXHcHhheEDhhhdkLcJsdoASdmUUTuUTuKUUJDPbRdxaRRCDh@	Compound 13	Alclometasone		12.45	non-CNS	408.920	1.6957	-3.445	1.6957	5	3	278.73	0.20621	1.017	28	400 <= x < 425	
fk@`@@RrJJISHjJIRKVKIQ``ibVjYjZjjjjjj@adj@	Compound 14	Alfacalcidol			non-CNS	400.644	6.8241	-5.596	6.8241	2	2	329.92	0.40281	0.83144	29	400 <= x < 425	
eg`VL@@DLBFE@`BndfYo^UyefU|aassZyjjjjjj`ZBF@@@	Compound 15	Alfentanil	7.5		CNS	416.524	2.1214	-2.317	1.7651	9	0	327.01	0.59138	0.83603	30	400 <= x < 425	
fcohP@DZ]yHJCgdTRbRQTTrTVRRREJNV}Zjjj`B@Bj`a``@	Compound 16	Alfuzosin	7.3		non-CNS	389.454	1.0512	-3.779	0.7958	9	2	301.75	0.51156	0.82494	28	375 <= x < 400	
en^\F@@DND`I@ghZ\bfdQTtTQffTTQbRfRRrn~Zjijjjjj`BJjh@@@	Compound 17	Aliskiren	9.57		non-CNS	551.766	3.3561	-4.349	1.18	9	4	453.42	0.73944	0.78706	39	550 <= x < 575	
ffm@`@@HR[YugYfeMVffZYjjhALSHUj@	Compound 18	Alitretinoin		4.76	non-CNS	300.440	5.8207	-3.478	3.4156	2	1	262.43	0.40842	0.66755	22	300 <= x < 325	
deth@DxYAIeeZxYZYjX@@	Compound 19	Allopurinol			non-CNS	136.114	-3.0509	-1.543	-3.1884	5	2	99.61	0.10432	0.80147	10	125 <= x < 150	
ffsA@@@YEHiDdbhTidjBuXLRujjjijjZj`@@	Compound 20	Allylestrenol			non-CNS	300.484	4.8944	-4.82	4.8944	1	1	235.78	0.33472	0.86118	22	300 <= x < 325	
fi{h`@DXEWhMILsLo]kKZrTVeFuUSMATEYQ@I@@	Compound 21	Alogliptin	9.47		non-CNS	339.398	1.0117	-3.878	-1.0576	7	1	261.16	0.46558	0.83968	25	325 <= x < 350	
ffsI@@DFmdBSLrl|jl|DhpZiruTtEHSQQ@@@	Compound 22	Alosetron	6.48		non-CNS	294.357	1.8051	-2.35	1.7059	5	1	225.5	0.30409	0.88723	22	275 <= x < 300	
eg`ZDB@LBCHemI`@cZPNdKiCIEELheDcEMEiECI`pyDUUSSALEEUTuTTGb@@	Compound 23	Alpelisib	2.81	7.79	non-CNS	441.477	3.8412	-5.727	3.8409	7	2	309.19	0.52262	0.82494	30	425 <= x < 450	
fmwqA@BBCxDPNHRYVvufWgUZLEIMYiiZ`XJJjh@@	Compound 24	Alpidem	5.05		CNS	404.340	5.0431	-6.919	5.0395	4	0	309.24	0.54661	0.86725	27	400 <= x < 425	
ffsHB@AJSdDPdrmrlvkMNZ]Fj\pACTE@lDP@@	Compound 25	Alprazolam	5.01		CNS	308.771	2.6195	-5.896	2.6174	4	0	230.41	0.24383	0.86592	22	300 <= x < 325	
ebZRDDDAOBnhl`H`FHDgj\bbbRLbRQTtrRdRRabsGBNLAAUUTsUUUA@@@@@	Compound 26	Ambenonium			CNS	537.573	-2.4706	-3.552	-2.4708	6	2	420.68	0.61001	0.73783	36	525 <= x < 550	
ffcqb@FJ}hu`AFRJQQEJIUQIKCNRKVjjjYZjjhDKP	Compound 27	Amdinocillin	7.92	3.3	non-CNS	325.432	1.3688	-1.991	-2.7288	6	1	232.69	0.39323	0.87147	22	325 <= x < 350	
dcuLPNwBh@bOCIEHjdeSUUP@@	Compound 28	Amifostine	10.71	2.06	non-CNS	214.225	-6.9869	1.278	-12.329	5	4	156.24	0.76993	0.43944	12	200 <= x < 225	
eaUZK@@DKHmnPJEODbfcgohZV\bbTTrbRTVfrbTrbVTLrQ`WTrNKUUUUUUUUUUUUUPVDHgBtad\`TrUTzPtfUrAbJqP@	Compound 29	Amikacin	9.8		non-CNS	585.605	-8.5032	0.233	-10.9	18	13	395.89	0.31638	0.96242	40	575 <= x < 600	
doh`DiivwTHcHheEBhUJz@Hif`@@	Compound 30	Amiloride	7.29		non-CNS	229.631	-1.5887	-2.441	-1.5887	8	4	161	0.30525	0.71863	15	225 <= x < 250	
fi{``@I@QdTrRRRbbbbTRJZyzt[UUUP@PPD@@@	Compound 31	Amineptine	9.17	4.41	CNS	337.461	3.3899	-4.429	0.40252	3	2	277.66	0.41323	0.74806	25	325 <= x < 350	
dg]L@DlEwHheDdhkImPPLP@@	Compound 32	Aminohippurate		3.69	non-CNS	194.189	-0.4489	-1.472	-5.1472	5	3	148.85	0.5901	0.51585	14	175 <= x < 200	
fhiq@@DDXCHhhheEEeR\|Eji`j@`@@	Compound 33	Aminophenazone			non-CNS	231.298	0.3023	-1.05	0.30225	4	0	180.37	0.43351	0.77373	17	225 <= x < 250	
eohXLD@GBCJ`JpRlrJJIJIFKQQQQIKGYbSJiXzBBbfihJhHh`@@	Compound 34	Amiodarone	8.47		non-CNS	645.309	6.2801	-8.015	5.1776	4	0	381.02	0.59532	0.89504	31	625 <= x < 650	
fikpR@A^sAEg@BLddLRbJRbvTTVUjoUhJ@ijjjb`f`@	Compound 35	Amisulpride	8.28		CNS	369.484	0.6656	-2.851	0.50476	7	2	278.21	0.52441	0.83521	25	350 <= x < 375	
fj}`@@@YIDThhhheDbzOliKUSP@PPD@@@	Compound 36	Amitriptyline	9.76		CNS	277.410	4.4056	-3.674	2.043	1	0	234.09	0.32015	0.80899	21	275 <= x < 300	
ffcPP@IQ@INTfYfUuUnXIUc^Z@H@Hij`@@	Compound 37	Amlexanox		4.3	non-CNS	298.297	3.0633	-6.142	-0.033108	6	2	215.67	0.22946	0.87957	22	275 <= x < 300	
f`aQ`@DX@pRSJsvoTxuSMUU@@@	Compound 38	Amobarbital		7.48	CNS	226.275	1.2968	-2.587	1.2625	5	2	177.14	0.6008	0.67785	16	225 <= x < 250	
fi{qB@FZKdDPdrmj{Jv|mNRTFL@@AP@UUP@@@	Compound 39	Amodiaquine	9.61		non-CNS	355.868	4.2018	-4.454	1.3739	4	2	275.71	0.48589	0.80395	25	350 <= x < 375	
ffsqB@ARJhDPdrmrljj}NZ]DnZpACUTTDA@@@	Compound 40	Amoxapine	8.83		CNS	313.787	3.3035	-4.355	1.8616	4	1	231.21	0.24084	0.84323	22	300 <= x < 325	
elZ\FH@LDbhDKNahP@cIICEDdeEDXTmELdhlcHk`XTUj`hJhji``hhH@@	Compound 41	Amprenavir			non-CNS	505.634	2.2566	-3.742	2.2566	9	3	379.56	0.58694	0.80188	35	500 <= x < 525	
dgH@DjprJIQEQIMqvuRp@P@@	Compound 42	Amrinone			non-CNS	187.201	-1.0079	-1.272	-1.0092	4	2	145.67	0.38025	0.63126	14	175 <= x < 200	
el^XI@@A`A@hbechT\bbbbbbVbRreVbfbQRXTt\lRjZ~AZ@H`BXjjjZjhJh|cTzWtAP@	Compound 43	Amrubicin	7.3	8.15	non-CNS	483.472	0.8393	-4.618	0.67535	10	5	327.4	0.18926	1.027	35	475 <= x < 500	
fcqb@LVkAB`AFRRGQISKJJJJIKZVluzn^uj@Hj@@@@@@@@	Compound 44	Amsacrine	8.45		non-CNS	393.466	3.8016	-6.506	2.7192	6	2	287	0.3961	0.8267	28	375 <= x < 400	
dazD@HADeUVjh@@	Compound 45	Amyl nitrite			non-CNS	117.147	2.3114	-1.467	2.3114	3	0	108.6	0.70079	0.53648	8	100 <= x < 125	
f`iqA@IJmxDPRHRYfuu]`eZlzBBJidh@@	Compound 46	Anagrelide			non-CNS	256.092	1.221	-3.668	-0.94707	4	1	167.1	0.10358	0.83766	16	250 <= x < 275	
ff}h@@@AbfnQJQPiQZQHsJRbuzh@JjneH@@	Compound 47	Anastrozole			non-CNS	293.373	2.6107	-4.166	2.6107	5	0	246.78	0.54919	0.75474	22	275 <= x < 300	
fegP`@OS@aIeiY]_ue\wgAzMjj`hHj@B`@@	Compound 48	Anileridine	8.88		CNS	352.476	3.2426	-3.699	1.7505	4	1	285.08	0.50213	0.72591	26	350 <= x < 375	
f`qa`@D@x{HhheKDeeQakMUL@EP@@	Compound 49	Aniracetam			CNS	219.239	1.5197	-1.945	1.5197	4	0	169.1	0.53656	0.6593	16	200 <= x < 225	
fbmp@@@XXeLLjsobe`iruUPP@@P@@@	Compound 50	Antazoline	9.24		non-CNS	265.359	2.0152	-2.944	0.16528	3	1	219.29	0.54363	0.65788	20	250 <= x < 275	
eeWRDF@IGEojf`IABPpdNY@VPedLbdLRTrRrbbTQrTRVTRTL`baeaWSwqMMT@@APPLUUU@AU@P@@@	Compound 51	Antrafenine	7.04		non-CNS	588.550	6.389	-6.434	6.2316	6	1	413.93	0.45818	0.88286	42	575 <= x < 600	
edVZB@@DFMNa`FcklbbbbbTRQbVRbUbTRwBfegfUTwtKURET@PCQTuTa@@@	Compound 52	Apixaban			non-CNS	459.505	1.6048	-4.317	1.6048	9	1	340.93	0.38933	0.93257	34	450 <= x < 475	
ejQRLN@AHdjcKI`ICzPAdHYAFPqdBYCHhdlhhhemEDeBehmHiJFCGJfmch@JjjijhDBjjb`@@	Compound 53	Aprepitant		6.59	CNS	534.431	3.9633	-5.092	3.9608	7	2	356.27	0.51559	0.84897	37	525 <= x < 550	
efQVE@@DKHmhZPJEODbfcgolbbTTrbRTVfrbTrbVTLi`WTrNKUUUUUUUUUUUUT@@@	Compound 54	Arbekacin	9.99		non-CNS	552.623	-7.1968	-0.641	-9.7835	16	11	387.88	0.5374	0.93769	38	550 <= x < 575	
fkQa@IZHgHLPhQdTTVbRTRbtNRTrSNJMl|DAUUUMU@@H@@	Compound 55	Arbidol	9.87	6.01	non-CNS	477.422	4.1689	-4.75	1.6104	5	1	327.66	0.45583	0.9583	29	475 <= x < 500	
elZVJH@LEGEhTXDKCk`@cIIBhhheDeCDcDdhmUCHdfigejBhFhjjjffhh@@	Compound 56	Argatroban	11.79	3.09	non-CNS	508.642	0.153	-3.47	-4.1732	11	5	374.52	0.54393	0.89477	35	500 <= x < 525	
fduA`@@H]dTRbrbTTcHsWcA]yjZjfjjh@@	Compound 57	Arglabin			non-CNS	246.305	1.4788	-2.783	1.4788	3	0	176.48	0.15569	0.9389	18	225 <= x < 250	
egh\DD@FKAdc`H`bHrJJJYPiYIIJIJYJ\BFV]S[WPQAUUUPAELQ@@@	Compound 58	Aripiprazole	7.46		CNS	448.392	4.4351	-5.144	4.1024	5	1	334.27	0.51892	0.79548	30	425 <= x < 450	
fjcAP@@PxkNRIRJQJJUSZdxHuoNCUUUUUUUT@@	Compound 59	Artemether			non-CNS	298.377	2.9012	-3.25	2.9012	5	0	209.4	0.37152	0.89693	21	275 <= x < 300	
fb}aB@GBADILk[KJztYhugIs@AUUPPA@@@	Compound 60	Asenapine	7.29		CNS	285.773	4.9405	-4.906	4.6893	2	0	206.52	0.093192	0.87866	20	275 <= x < 300	
edVRHH@AMCN`PIAIe]YfuYwuYWZFMKHbfngoh@Ji``hjj@BbH@@@	Compound 61	Astemizole	8.73		non-CNS	458.579	5.1461	-4.565	3.7763	5	1	361.03	0.39192	0.83438	34	450 <= x < 475	
elzvN@@LIKAdRPDABg`xraHQLaHRHrhQDaHQLaLQDaHRLaDQDRHSL`^enWY_VjijjjB`hjX@h@j`Z@@@@	Compound 62	Atazanavir			non-CNS	704.866	3.3709	-6.074	3.3704	13	5	555.21	0.5631	0.8534	51	700 <= x < 725	
flea@@@`rQQQQJIEKZUoQhJHB@bBBJ@@	Compound 63	Atomoxetine	9.8		CNS	255.360	3.1197	-3.127	0.71485	2	1	219.02	0.34587	0.63634	19	250 <= x < 275	
eiSTJH@AIaeh^QPICHhdlhhhdheDdhXcmEDlmJFEKNcbVX@JZj`j`Zb`hHXP@@@	Compound 64	Atorvastatin		4.31	non-CNS	558.648	5.6217	-6.92	2.5494	7	4	431.16	0.49983	0.95969	41	550 <= x < 575	
fewAb@@iJBHRYWYWYf{uhsQluGN@BjjZfX@H@@@	Compound 65	Atovaquone		5.53	non-CNS	366.843	5.0743	-6.192	5.0149	3	1	266.25	0.37501	0.88167	26	350 <= x < 375	
edZ^LH@ECHdbkgbLc`HcHhhddTheEECLhemLdpHEDLlCCAAEPDDuUU@@DPUT@@	Compound 66	Avanafil	5.54		non-CNS	483.958	1.4906	-3.746	1.4847	10	3	364.38	0.45128	0.8444	34	475 <= x < 500	
fcIB@K^Stp@cIEEEDdhmCdTeDeIv`iro]@D@LQUL@@HBAX	Compound 67	Axitinib			non-CNS	386.478	3.4441	-4.87	3.4434	5	2	299.93	0.46347	0.81719	28	375 <= x < 400	
fhiIP@DXxHDc^CdTRbfaTVUNZltuUUUL@@	Compound 68	Azacitidine			non-CNS	244.206	-2.8639	-1.438	-2.8639	9	4	163.61	0.43233	0.80548	17	225 <= x < 250	
ffsP@@@ErQQJJZJYIKXtDip\iJDDdEPTTQ@@@	Compound 69	Azatadine	7.91		CNS	290.409	3.7052	-3.143	3.0747	2	0	232.82	0.15186	0.88404	22	275 <= x < 300	
fluxbBLTDZs`qR@HMJ^rQQQJJJIHrSeV|F`dbjJXT@@	Compound 70	Azathioprine		8.62	non-CNS	277.268	-0.6232	-2.443	-0.64722	9	1	194.85	0.30186	0.81387	19	275 <= x < 300	
feghRBFJcencV|@HsK^rQRJHiQJsQJIKXYrPyuUUSLuHHE@@@	Compound 71	Azidocillin		3.29	non-CNS	375.408	0.6989	-1.82	-3.3763	9	2	260.68	0.42492	0.90142	26	375 <= x < 400	
ebvtC@@AhpDIMDbfkbVYS\bbTTTtbRfababRTbfbbfnrbLufrHHmokUUUUUUUUUUUUUUUUUP@@	Compound 72	Azithromycin	9.57		non-CNS	748.992	1.6569	-3.094	-0.51571	14	5	562.27	0.55244	0.97979	52	725 <= x < 750	
e`\ZFH@FEHngmCKOFk`@cIEHhbeDkMDhhehmE`qqIL\}}UUULsU@pTMTP@@	Compound 73	Azlocillin		3.49	non-CNS	461.498	0.3123	-2.187	-3.6027	11	4	312.78	0.44142	0.92528	32	450 <= x < 475	
fcwhI@BJ]F\DXxXJ}`BJaFRRVJKYSQJIIRKQ`buVjZififjfhDKH	Compound 74	Aztreonam		3.5	non-CNS	435.437	-2.6616	-1.45	-11.94	13	4	284.43	0.52202	0.84897	28	425 <= x < 450	
feg`pBH@QxL\peGYEMDeeEDhhilTnBST\v`@jfZf`@BDb@@	Compound 75	Acenocoumarol		5.09	non-CNS	353.329	2.359	-4.182	0.74143	7	1	256.48	0.45566	0.87774	26	350 <= x < 375	
gJX`DBdru@@	Compound 76	Acetohydroxamic acid		8.94	non-CNS	75.0667	-0.8135	-0.734	-0.82575	3	2	61.32	0.060496	0.69315	5	75 <= x < 100	
facA`@@H[dTrbrTVTTTTnRUiiff@bJ`ALSHUj@	Compound 77	Acitretin		4.77	non-CNS	326.434	5.6182	-4.233	3.2275	3	1	283.34	0.41809	0.7268	24	325 <= x < 350	
ed\ZAH@Dmk`XXDLNAIG@`O@hbHqDQDQDRDaLbLbD`XQDqCko`VjjjifjjjA@h@@@	Compound 78	Adefovir dipivoxil	4.73	0.37	non-CNS	501.475	1.2514	-5.059	1.2491	13	1	374.31	0.66441	0.78531	34	500 <= x < 525	
dk\d@Dq]@\bbbbfJZ]MjjZe`@	Compound 79	Aminophylline		7.82	CNS	180.167	-0.3112	-1.481	-0.45249	6	1	128.71	0.014758	0.79602	13	175 <= x < 200	
e`T\NH@FEBmCK@die`@cIEHhbeDmhihcEDlm`qqH\}UUULtuU@pQT@@@	Compound 80	Bacampicillin	7.23		non-CNS	465.525	1.2902	-2.832	0.96959	10	2	330.74	0.4417	0.92059	32	450 <= x < 475	
fe{pp@EZJACLcfdwL{kJ{ZlJPXmA@S@AMTp@@@	Compound 81	Balsalazide		3.06	non-CNS	357.321	2.0244	-3.875	-2.3111	9	4	267.32	0.54136	0.72855	26	350 <= x < 375	
fekqP@LIrAFoQrJIQPiQKQSZHrJLuT@QUMUUDKD@@	Compound 82	Bambuterol	9.52		non-CNS	367.444	1.4866	-2.077	-0.6393	8	2	289.66	0.53216	0.76455	26	350 <= x < 375	
el^TL@@AO@HT\dTRRVbRRRabbbRRvrxdBbjZN~^AhHHjjji@H@Bb`@@@	Compound 83	Bazedoxifene	9.35		non-CNS	470.611	5.6968	-4.791	4.0022	5	2	372.18	0.48503	0.89091	35	450 <= x < 475	
eohTJ@@DF@O@bjlbbbbbRRTTubJRfRDL\rn^Zj`jAjFj`@`@@@	Compound 84	Benazepril		3.84	non-CNS	424.495	0.8715	-3.877	-3.0015	7	2	330.7	0.51539	0.84556	31	400 <= x < 425	
fmwpR`LBKAB\`BGAGY@\aNPrRPjJIYIQJQIRU`mVZmZ`hH`e`jHHTh@@	Compound 85	Bendroflumethiazide			non-CNS	421.419	1.6564	-3.508	1.6466	7	3	263.84	0.42065	0.89423	27	400 <= x < 425	
fcpb@CIZJhICHhdlideDeeEEBeQ`Xmzo\@DuUUUL@AP@@	Compound 86	Benperidol	7.35		CNS	381.450	3.3802	-5.191	3.104	5	1	288.75	0.45345	0.82315	28	375 <= x < 400	
fnka@@K@rQQQIQQQIIHxUg^cWKZjj@J`BB`@@	Compound 87	Benzatropine	9.54		CNS	307.436	4.0633	-3.917	1.9169	2	0	243.62	0.37699	0.6909	23	300 <= x < 325	
dcND@MADfVU~UZ``H@@	Compound 88	Benzocaine			non-CNS	165.191	1.3016	-2.133	1.3016	3	1	135.55	0.38666	0.54931	12	150 <= x < 175	
eeUXM@@K@DE@ficodZQTfVUWUUU]UUUUUVSQjBBJjjjjjjjjj`@@	Compound 89	Benzonatate			non-CNS	603.747	1.7022	-1.946	1.7021	12	1	515.95	0.67015	0.62421	42	600 <= x < 625	
fdy`@@@ITs|rj}`~cUU@@@@PaP@	Compound 90	Benzphetamine	9.72		CNS	239.361	3.49	-2.943	1.0841	1	0	207.86	0.64527	0.55303	18	225 <= x < 250	
fegpP`IZCpSo@bBAA`aHQdTTRdRjTbjRbRXjpQs``VJUjh@B@@@	Compound 91	Benzthiazide		7.26	non-CNS	431.944	1.4118	-4.174	0.41542	7	2	280.06	0.51033	0.86323	26	425 <= x < 450	
f`q@`@@HRYYUg^Qg^Z``@@@@@	Compound 92	Benzyl benzoate			non-CNS	212.247	2.9907	-3.08	2.9907	2	0	174.53	0.4602	0.51585	16	200 <= x < 225	
fmwQ@@JZAdbRbbbJTLRRbrqkE{M]UUUUPP@@PPpP@	Compound 93	Bepridil	9.16		non-CNS	366.547	4.4044	-3.813	2.6403	3	0	309.72	0.56648	0.70075	27	350 <= x < 375	
fmoqa@BLjVZpQBi@hRDaHRDaHQDIHQHQAcfgQSeoXHbhjiijfJh^H@@	Compound 94	Besifloxacin	9.67	5.45	non-CNS	393.845	-0.1842	-5.028	-2.4545	6	2	271.53	0.30501	0.93789	27	375 <= x < 400	
deU@@@GIEDdUS@PU@@@	Compound 95	Betahistine	9.77		CNS	136.197	0.4992	-0.833	-1.8723	2	1	123.26	0.56347	0.57807	10	125 <= x < 150	
daG@@@cldRaVEMUH@@	Compound 96	Betazole	9.79		non-CNS	111.147	-0.9578	-0.285	-3.1179	3	2	97.63	0.57126	0.65976	8	100 <= x < 125	
dmUDBLxDzTf^^fjjjBh@	Compound 97	Bethanechol			non-CNS	161.224	-3.3724	-0.386	-3.3724	4	1	130.95	0.47962	0.47958	11	150 <= x < 175	
dko@@@pdim^Utvjh@@HB@	Compound 98	Bethanidine	12.41		non-CNS	177.250	0.9281	-2.009	-4.0775	3	2	157.43	0.64908	0.49074	13	175 <= x < 200	
feg@`@@HR[e]fy]ZZxHLR}Z@BdBBjj``@@	Compound 99	Bexarotene		4.07	non-CNS	348.484	4.799	-6.389	1.4696	2	1	276.01	0.46999	0.85628	26	325 <= x < 350	
fik`R@IBStXHaIe]mVUuijLCF@BZh@JjX@@@	Compound 100	Bezafibrate		3.83	non-CNS	361.824	3.3525	-4.072	-0.2188	5	2	274.2	0.63738	0.67019	25	350 <= x < 375	
fkoPR`OG`aS`A@YB\`nPwHYIHXdeHcMmDeLiEJuVkPPUCT@EUXPyP@	Compound 101	Bicalutamide			non-CNS	430.377	2.1426	-5.084	2.1426	6	2	291.11	0.59133	0.79764	29	425 <= x < 450	
fa{P@@@XRe^YeUe\DlGtV}ZZ`@@B@B@aR`@	Compound 102	Bifonazole	6.36		non-CNS	310.399	4.7577	-6.844	4.6811	2	0	253	0.46624	0.69426	24	300 <= x < 325	
edZ\L@@GJf`DOlbfdTJVRTRVTRbRRQRfbVWPussUP@UUUMTDEQ@@@@	Compound 103	Bilastine	9.41	4.04	non-CNS	463.620	3.5841	-3.15	0.23938	6	1	370.01	0.47911	0.8512	34	450 <= x < 475	
fnka@@O@rJQQQIJIKFEKP[N]FkZhJ`jajhj@@	Compound 104	Biperiden	9.3		CNS	311.467	3.7885	-3.568	1.885	2	1	247.66	0.51021	0.79048	23	300 <= x < 325	
ej^ZJ@@DLCFhPMJk`\bbRdTlTfebTQTTLVbarJJzqIZjjfjjijjffjj@@@	Compound 105	Boceprevir			non-CNS	519.684	1.3825	-4.018	1.3825	10	4	388.06	0.57311	0.87401	37	500 <= x < 525	
fcoQ`@CC@cVQQJJIIKKQRJJqUUnsFmjB`hhJbHXJAJ@@	Compound 106	Bopindolol	9.29		non-CNS	380.486	3.9674	-4.55	2.0717	5	2	305.87	0.3896	0.78531	28	375 <= x < 400	
enUZFH@LA@jfhDKLofP@cIIBhhdeEhdmEDiDeDkemOG@glXZUj@@HBj@JhHHb@@@@	Compound 107	Bosentan		5.8	non-CNS	551.622	3.479	-7.481	1.8643	11	2	410.94	0.41793	0.898	39	550 <= x < 575	
eb^ZLD@EDlkdRNa`HbRHrJJII[JJJIIEIKIJIKLBAYUMPhpPQTDA`EUUUTA@@@	Compound 108	Bosutinib	8.03		non-CNS	530.454	4.5762	-5.461	3.5085	8	1	400.59	0.38167	0.89747	36	525 <= x < 550	
fncqS@LVKADTy@D\BOAFRRFJIIIKIRIBehruTuUUKULID@@	Compound 109	Brinzolamide	6.5	8.18	non-CNS	383.513	0.2924	-0.872	0.19952	8	2	258.96	0.51844	0.91023	23	375 <= x < 400	
fluqB@AJMDFHdrmrlzmNZ\EL@PuA@a@@@	Compound 110	Bromazepam			CNS	316.157	1.7986	-4.023	1.7986	4	1	202.85	0.27725	0.84245	19	300 <= x < 325	
fdyPA@BJAbRqDfYy~[Ug@q``Jjjh`@@	Compound 111	Bromhexine	9.23		non-CNS	376.135	3.6113	-4.448	1.6869	2	1	223.16	0.56476	0.69646	18	375 <= x < 400	
emXzJH@DKBmh\fegnPLSHheDdeEmDULiDhhikEDdkBJIMECOHimh\ZVZZ`bIjfjijjjjZbJh@@	Compound 112	Bromocriptine	6.71		CNS	654.604	3.7651	-3.939	3.6837	10	3	424.91	0.30042	1.0843	43	650 <= x < 675	
fbuaB@@bAbILklljoTYzL@ETDDTDND@@	Compound 113	Bromodiphenhydramine	8.87		CNS	334.256	3.631	-3.145	2.1493	2	0	236.49	0.54538	0.68273	20	325 <= x < 350	
feg`a@KBRCDgHILkmZzk\ktXZwQp@UUUTp@Q@@@	Compound 114	Bromperidol	8.07		CNS	420.321	4.4241	-4.798	3.6717	3	1	285.63	0.49482	0.71389	26	400 <= x < 425	
flePB@E^AbILklrj}Qc`p@UAAEACa@@	Compound 115	Brompheniramine	9.48		CNS	319.245	3.4729	-2.724	1.3909	2	0	225.25	0.47412	0.73028	19	300 <= x < 325	
fikQR@LZ`cdT`BLddlTRTRbtRQvdXkUhHJHI`b`@@	Compound 116	Bumetanide		4.68	non-CNS	364.421	2.2664	-4.725	-0.44167	7	3	269.22	0.53775	0.8584	25	350 <= x < 375	
edQXB@@E`NENldTTTRdTrRbRlaLfjaCDgefUaPUSRpLMATEUEUUUUUTUT@@@	Compound 117	Buprenorphine	9.63		CNS	467.648	4.3417	-4.838	-0.80134	5	2	322.45	0.36241	1.0727	34	450 <= x < 475	
fch`@DAktXNYEEDheBdbhdlhdfBlxmU{ZjZjjjj`@j@@@	Compound 118	Buspirone	7.62		CNS	385.510	1.8451	-2.334	1.4199	7	0	299.73	0.51239	0.74499	28	375 <= x < 400	
f`aQ`@DX@pRSJsvkTxuSMTu@@@	Compound 119	Butalbital		7.48	CNS	224.259	1.1113	-2.526	1.0767	5	2	175.66	0.54548	0.69646	16	200 <= x < 225	
do}L@DpFEIeY{WkfjYjj`@	Compound 120	Butobarbitone		7.48	CNS	212.248	1.0785	-2.427	1.0442	5	2	166.14	0.55351	0.66755	15	200 <= x < 225	
