Structure [idcode]	pKa	temp	method	type	group	basicOrAcidic	Row-ID	Neighbor Similarity OrgFunctions 96%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	
daDDPFxHaHaIk{Bjih@@	3.51	23	potentiometric	a/apparent		acidic	20		0		-0.9475834	-0.17022996	
daDDPFxLQLQIk{Bjih@@	3.57	24	potentiometric	a/apparent		acidic	21		0		-0.9526134	0.13568021	
daDD`BxHaIf^fjZX@@	7.05			a/apparent		acidic	22		0		-0.84936094	0.12566052	
daDD`Fx@aJU{BiYh@@	4.03	23	mean from 4	a1/apparent	COOH	acidic	23	1; 1; 1; 1; 1; 1; 1	7	4195; 2800; 2798; 2797; 2791; 1404; 24	-0.060209464	0.5520791	
daDD`Fx@aJYXjjUh@@	3.46	22	mean from 7	a1/apparent	COOH	acidic	24	1; 1; 1; 1; 1; 1; 1	7	4195; 2800; 2798; 2797; 2791; 1404; 23	-0.014445074	0.57835436	
daDD`FxDQJYXjjUh@@	3.43	25		a1/thermodynamic		acidic	25		0		-0.7347769	0.6631891	
daDD`HPOCIIBdwMUT@@	2.73	25	potentiometric	a/apparent		acidic	26	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7769; 7620; 7498; 7274; 6957; 4593; 4066; 4065; 4064; 3189; 3188; 2587; 2586	-0.37554437	-0.419646	
daDD`Jx@aJUdfjfX@@	4.34		potentiometric	a/apparent		acidic	27		0		0.9352804	-0.12896468	
daDH@@RYU[fei@@	-0.82	25		a1/apparent		basic	28		0		0.67193764	0.69859123	
daDH@@RYU[jei@@	-7.0	25		a1/apparent	COH2(1+)	basic	29		0		0.6728284	0.7028764	
daDH@@RYVih@H@@	10.01	22	mean from 12	a1/thermodynamic	OH	acidic	30	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	37	7777; 7776; 4840; 4621; 4232; 4231; 4230; 4228; 4227; 4226; 3746; 3744; 3502; 3501; 2812; 2809; 2808; 2807; 2805; 2804; 1954; 1953; 1441; 1440; 1439; 1437; 569; 568; 567; 566; 565; 564; 563; 562; 561; 32; 31	-0.13675527	0.41525793	
daDH@@RYWih@H@@	10.22	22	mean from 13	a1/thermodynamic	OH	acidic	31	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	37	7777; 7776; 4840; 4621; 4232; 4231; 4230; 4228; 4227; 4226; 3746; 3744; 3502; 3501; 2812; 2809; 2808; 2807; 2805; 2804; 1954; 1953; 1441; 1440; 1439; 1437; 569; 568; 567; 566; 565; 564; 563; 562; 561; 32; 30	-0.17445563	0.48282385	
daDH@@RYe[hB@@@	10.22	22	mean from 11	a1/thermodynamic	OH	acidic	32	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	37	7777; 7776; 4840; 4621; 4232; 4231; 4230; 4228; 4227; 4226; 3746; 3744; 3502; 3501; 2812; 2809; 2808; 2807; 2805; 2804; 1954; 1953; 1441; 1440; 1439; 1437; 569; 568; 567; 566; 565; 564; 563; 562; 561; 30; 31	-0.19322647	0.50625515	
daDH@@RYm[ffi@@	8.84	30	spectrophotometric	a1/apparent		acidic	33		0		0.82223004	0.22868346	
daDH`BBHRYg[hH@@@	8.4	24	mean from 6	b1/apparent		acidic	34	1; 1; 1; 1; 1; 1; 1	7	4233; 2825; 2823; 2822; 575; 41; 38	-0.24582744	-0.41901422	
daDH`BBPRYg[hH@@@	8.81	25	potentiometric	a1/apparent		acidic	35	1	1	42	-0.3299654	0.23201244	
daDH`BBlRYg[hH@@@	8.4	25	mean from 3	thermodynamic		acidic	36	1; 1	2	43; 39	0.7360925	-0.015826283	
daDH`BCDRYg[hH@@@	8.4	25	mean from 5	a1/apparent	OH	acidic	37	1; 1	2	44; 40	-0.26034608	0.5966709	
daDH`FBHRYVkh@`@@	8.96	25	mean from 7	a1/apparent		acidic	38	1; 1; 1; 1; 1; 1; 1	7	4233; 2825; 2823; 2822; 575; 34; 41	-0.21451277	-0.37375304	
daDH`FBlRYVkh@`@@	9.02	25	mean from 2	thermodynamic		acidic	39	1; 1	2	43; 36	0.74111545	0.0058197365	
daDH`FCDRYVkh@`@@	8.99	25	mean from 3	thermodynamic		acidic	40	1; 1	2	44; 37	-0.25343394	0.6167814	
daDH`NBHRYWih@H@@	9.29	24	mean from 14	a1/apparent		acidic	41	1; 1; 1; 1; 1; 1; 1	7	4233; 2825; 2823; 2822; 575; 34; 38	-0.22604506	-0.4288318	
daDH`NBPRYWih@H@@	9.88	25	mean from 3	a1/apparent		acidic	42	1	1	35	-0.2907432	0.23218842	
daDH`NBlRYWih@H@@	9.32	25	mean from 3	a1/apparent		acidic	43	1; 1	2	36; 39	0.7219562	0.0031893444	
daDH`NCDRYWih@H@@	9.29	25	mean from 7	a1/apparent	OH	acidic	44	1; 1	2	37; 40	-0.23904899	0.6032177	
daDL@@IdfYjyif`@	8.48	20	potentiometric	a/apparent		acidic	45		0		-0.78432184	-0.6077486	
daDL@@KdfYzYjZ`@	4.8	20	potentiometric	1/apparent		acidic	46	1	1	55	-0.7941128	-0.03266305	
daDL@@KlbbbMLttp@@	3.0			a/apparent		acidic	47		0		-0.83230096	0.32985485	
daDL@@PdfyVyjZP@	3.18	22	mean from 7	a1/apparent	COOH	acidic	48	1; 1; 1; 1; 1; 1	6	2837; 1473; 1469; 52; 51; 49	0.85946715	0.07310999	
daDL@@PdfyVyjZP@	-0.53	28		a1/apparent	COO-H	basic	49	1; 1; 1; 1; 1; 1	6	2837; 1473; 1469; 52; 51; 48	0.8348152	0.03861736	
daDL@@Pdfzvyjj`@	3.88	25	mean from 2	thermodynamic		acidic	50	1; 1; 1; 1; 1	5	7634; 4245; 2839; 1466; 980	0.18521443	0.616145	
daDL@@QdfyVyii`@	-0.59	25	potentiometric	a1/apparent	COOH	basic	51	1; 1; 1; 1; 1; 1	6	2837; 1473; 1469; 52; 48; 49	0.84742546	0.056138415	
daDL@@QdfyVyii`@	3.94	20	mean from 4	a1/thermodynamic		acidic	52	1; 1; 1; 1; 1; 1	6	2837; 1473; 1469; 48; 49; 51	0.8658778	0.05123655	
daDL@@Qdfyrijjdp`j@@	4.76	25	potentiometric	a1/apparent		acidic	53	1	1	54	-0.6462231	-0.51343596	
daDL@@Qdfyrijjdr`j@@	4.47	25	potentiometric	a1/apparent		acidic	54	1	1	53	-0.66520864	-0.50160587	
daDLB@KnyIf^fZfh@@	12.9		spectrophotometric	2/apparent		acidic	55	1	1	46	-0.77475303	-0.03691472	
daDL`Bi`bDfYjzif`@	2.13	25	potentiometric	a/apparent		acidic	56		0		-0.6659442	0.67320675	
daDL`Bi`kDfYjzif`@	2.31	25	potentiometric	a/apparent		acidic	57		0		-0.18902133	0.94982	
daDL`Bi`qDfYjzif`@	2.23	25	potentiometric	a/apparent		acidic	58		0		0.033582333	-0.96714485	
daD`@@`nReepiZj@@	9.85	25		apparent		acidic	59	1; 1; 1	3	7278; 7277; 1490	0.53401524	0.7167308	
daD`@@aLReupffj@@	5.61	25	potentiometric	a/apparent		acidic	60	1; 1; 1; 1	4	7780; 7577; 7279; 61	0.019828705	-0.44971997	
daD`@@aLRevpffj@@	5.55	25	potentiometric	a/apparent		acidic	61	1; 1; 1; 1	4	7780; 7577; 7279; 60	0.017836636	-0.42732736	
daD`@@pjRfY[`J@@@	7.26	20	potentiometric	a1/apparent		basic	62	1; 0.96832; 0.96832; 0.9615; 1; 1	6	2854; 2357; 988; 313; 64; 63	0.19464856	-0.16394748	
daD`@@rfRf^k```@@	9.33	20		a1/apparent		acidic	63	1; 0.96832; 0.96832; 0.9615; 1; 1	6	2854; 2357; 988; 313; 62; 64	0.22645743	-0.18461552	
daD`@@rfRf^k```@@	6.03	20	mean from 2	a2/apparent		basic	64	1; 0.96832; 0.96832; 0.9615; 1; 1	6	2854; 2357; 988; 313; 62; 63	0.21578601	-0.20360774	
daD``Dpj@HrJIPdtuT`@	7.97	30	potentiometric	a1/apparent		acidic	65	1	1	7781	0.2874531	-0.55411726	
daD``LIn@HRfuijZi@@	3.27	25	potentiometric	a1/apparent		basic	66		0		-0.47740406	-0.5246377	
daE@@@IIf]n``@@@	4.43	22	mean from 6	a2/apparent		basic	67	1; 1; 1	3	2877; 104; 70	-0.6620599	-0.52428067	
daE@@@IIf]njjiHRH@	9.84	20	mean from 2	a1/apparent		basic	68	1; 1; 1	3	7373; 7372; 69	-0.664347	0.6131631	
daE@@@IIf]njjiHhP`@	9.75	22	mean from 4	a1/apparent		basic	69	1; 1; 1	3	7373; 7372; 68	-0.64684904	0.6279831	
daE@@@YIeZn`B@@@	5.04	21	mean from 9	a1/apparent	NH2	basic	70	1; 1; 1	3	2877; 104; 67	-0.6802555	-0.5114361	
daE@@@YIe^fZVh@@	12.5	21	potentiometric	a/apparent		basic	71		0		-0.9561918	0.09106623	
daE@@@YJYZf@``@@	2.24	25		b1/apparent	N(1+)-H	basic	72	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 127; 119; 118; 109; 92; 73	0.4089589	0.6537637	
daE@@@YJY^f@``@@	1.95	25	mean from 3	b1/apparent	N(1+)-H	basic	73	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 127; 119; 118; 109; 92; 72	0.41183048	0.69055307	
daE@@@YJY^fjjiHhh`@	9.98	25	potentiometric	b1/apparent		basic	74	1; 1	2	110; 75	0.87630266	-0.21062899	
daE@@@YJY^fjjiHhj`@	9.76	25	mean from 2	a2/apparent		basic	75	1; 1	2	110; 74	0.8568146	-0.2107075	
daE@@@[IEIcaUUTdTYP@	9.05	25		a2/thermodynamic	NH	basic	76		0		0.24777783	0.13381341	
daE@@@aJUTj@B`@@	4.13	16	potentiometric	a/apparent		basic	77	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	7790; 7789; 7285; 7156; 6003; 4304; 4303; 3813; 2888; 2887; 2884; 2883; 2882; 1988; 1503; 1502; 1500; 1499; 1035; 86; 81; 80; 78	-0.31600833	-0.589012	
daE@@@aJVTf@H`@@	4.1	16	potentiometric	a/apparent		basic	78	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	7790; 7789; 7285; 7156; 6003; 4304; 4303; 3813; 2888; 2887; 2884; 2883; 2882; 1988; 1503; 1502; 1500; 1499; 1035; 86; 81; 77; 80	-0.24436933	-0.5823952	
daE@@@aJVWBfjd@@	4.82	25	potentiometric	a1/apparent		basic	79	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 102; 101; 97; 87; 83; 82	-0.31275156	0.026367435	
daE@@@aJVXf@H`@@	3.99	16.5	potentiometric	a/apparent		basic	80	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	7790; 7789; 7285; 7156; 6003; 4304; 4303; 3813; 2888; 2887; 2884; 2883; 2882; 1988; 1503; 1502; 1500; 1499; 1035; 86; 77; 78; 81	-0.33570665	-0.55275387	
daE@@@aJV\f@H`@@	3.58	16.5	potentiometric	a/apparent		basic	81	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	7790; 7789; 7285; 7156; 6003; 4304; 4303; 3813; 2888; 2887; 2884; 2883; 2882; 1988; 1503; 1502; 1500; 1499; 1035; 86; 77; 78; 80	-0.3230514	-0.53556466	
daE@@@aJY_Jfjd@@	3.58	25	potentiometric	a1/apparent		basic	82	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 102; 101; 97; 87; 79; 83	-0.29724988	0.012950751	
daE@@@aJYgJfjd@@	3.96	25	potentiometric	a1/apparent		basic	83	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 102; 101; 97; 87; 79; 82	-0.2928666	0.03138675	
daE@@@aJf]njjd@@	5.7	25	potentiometric	a1/apparent		basic	84		0		0.026599724	0.8367205	
daE@@@aJf]njjh@@	6.66	25	potentiometric	a1/apparent		basic	85	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	14	7793; 7647; 7377; 2886; 2605; 1991; 1990; 1854; 1853; 1302; 1037; 380; 379; 329	0.34518275	-0.32671544	
daE@@@cIDhbS@DP@@	4.11	17.5	potentiometric	a/apparent		basic	86	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	7790; 7789; 7285; 7156; 6003; 4304; 4303; 3813; 2888; 2887; 2884; 2883; 2882; 1988; 1503; 1502; 1500; 1499; 1035; 77; 78; 80; 81	-0.2723344	-0.5597864	
daE@@@cIEECeSUR@@	3.56	25	potentiometric	a1/apparent		basic	87	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 102; 101; 97; 79; 82; 83	-0.2865336	0.07357112	
daE@@@iIYUnx@@@@	1.48	24	mean from 7	a1/apparent		basic	88	1	1	103	-0.16109912	0.8554827	
daE@@@iJUlf@H`@@	6.41	20	spectrophotometric	a1/apparent		basic	89	0.95174; 0.95174; 1	3	2982; 2980; 123	0.17332931	0.7591865	
daE@@@iJ[WBjjiHhr`@	9.03	25		a2/thermodynamic	NH	basic	90	1; 1; 0.9615; 0.9615; 1	5	7799; 7798; 2285; 1851; 91	-0.43883392	-0.4255002	
daE@@@iJ[WBjjkHVPh@	9.13	25		a2/thermodynamic	NH	basic	91	1; 1; 0.9615; 0.9615; 1	5	7799; 7798; 2285; 1851; 90	-0.42836916	-0.4456373	
daE@@@kIEDcS@PP@@	2.7	20	potentiometric	a1/apparent	NH(1+)	basic	92	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 127; 119; 118; 109; 72; 73	0.4465107	0.69896126	
daE@@@qIYUnx@@@@	-0.26		spectrophotometric	a/apparent		basic	93		0		0.933067	-0.16874842	
daE@@@qJYVnBB@@@	7.13	20	spectrophotometric	a1/thermodynamic		basic	94	0.95174; 0.95174; 0.95174	3	2979; 314; 310	0.0626641	0.31101504	
daE@@@qJY]nZjh@@	12.7		potentiometric	a/apparent		basic	95	0.95174	1	2727	0.8884427	-0.28913707	
daE@@@qJYnnBB@@@	7.4	30	mean from 2	a1/apparent	N-H	basic	96	1; 1; 1; 1; 1; 1	6	7803; 2897; 116; 100; 99; 98	-0.24919562	0.24963385	
daE@@@qJYoJZfh@@	8.5	25	potentiometric	a1/apparent		basic	97	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 102; 101; 79; 82; 83; 87	-0.2569056	0.09421411	
daE@@@qJYvfB@`@@	7.22	29	mean from 3	a1/apparent		basic	98	1; 1; 1; 1; 1; 1	6	7803; 2897; 116; 100; 99; 96	-0.27100965	0.24197465	
daE@@@qJYzfB@`@@	7.24	30	mean from 2	a1/apparent	N-H	basic	99	1; 1; 1; 1; 1; 1	6	7803; 2897; 116; 96; 100; 98	-0.23613712	0.21396501	
daE@@@qJY~fB@`@@	7.48	29	mean from 3	a1/apparent		basic	100	1; 1; 1; 1; 1; 1	6	7803; 2897; 116; 96; 98; 99	-0.27267146	0.21947706	
daE@@@qJYJZfh@@	8.02	24.9	potentiometric	a1/apparent		basic	101	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 102; 79; 82; 83; 87; 97	-0.2643133	0.07598354	
daE@@@sIEDceMST@@	8.09	25	potentiometric	a1/apparent	N(1+)-H	basic	102	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	27	7804; 7801; 7802; 7797; 7792; 7791; 7583; 7582; 7581; 7580; 7295; 7294; 7291; 7287; 7286; 4307; 2895; 2896; 2894; 2885; 1514; 79; 82; 83; 87; 97; 101	-0.2971968	0.060094744	
daE@@@yIYUnx@@@@	1.91	24	mean from 5	b1/apparent	H	basic	103	1	1	88	-0.18155847	0.8608229	
daE@@@yIe^f`@`@@	6.16	20	mean from 14	a1/apparent	NH2	basic	104	1; 1; 1	3	2877; 67; 70	-0.6792324	-0.5340408	
daE@@@yJUlj@B`@@	9.15	20	potentiometric	a1/apparent		basic	105	1; 1; 1; 1; 1; 1	6	7810; 7795; 7783; 2899; 2872; 112	0.7140583	0.10475013	
daE@@@yJUtj@B`@@	8.3	25	potentiometric	a1/apparent		basic	106	1	1	111	-0.22464623	0.76220953	
daE@@@yJYVf@``@@	3.5	25	potentiometric	a2/apparent		basic	107	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	4302; 4301; 4300; 2874; 2873; 2871; 1510; 1509; 1508; 640; 639; 638; 108	-0.6428829	-0.011627242	
daE@@@yJYVf@``@@	8.47	25	mean from 4	a1/apparent		basic	108	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	4302; 4301; 4300; 2874; 2873; 2871; 1510; 1509; 1508; 640; 639; 638; 107	-0.64607275	-0.055682752	
daE@@@yJYfn@b@@@	2.11	25		b1/apparent	N(1+)-H	basic	109	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 127; 119; 118; 72; 73; 92	0.4404764	0.66717213	
daE@@@yJYfnjjiHRP@	9.86	25	potentiometric	b1/apparent		basic	110	1; 1	2	74; 75	0.86464065	-0.23030637	
daE@@@{IDeBU@AP@@	8.33	25	mean from 2	a1/apparent		basic	111	1	1	106	-0.22090758	0.74299836	
daE@@@{IEDcS@PP@@	9.44	30		a1/apparent	N-H	basic	112	1; 1; 1; 1; 1; 1	6	7810; 7795; 7783; 2899; 2872; 105	0.6749417	0.108853735	
daE@B@HIRYg[hH@@@	1.3	22	mean from 7	a1/apparent		basic	113	1; 1	2	126; 117	-0.4022639	-0.0024640127	
daE@B@HIRYg[jjjRJDH@	6.71	23	mean from 5	a2/apparent		basic	114	1; 1; 1	3	7391; 7390; 115	-0.42651147	0.45121264	
daE@B@HIRYg[jjjRJDh@	6.35	20	mean from 2	a2/apparent		basic	115	1; 1; 1	3	7391; 7390; 114	-0.44413072	0.43909255	
daE@B@HIrRJHmpT@@@	12.2	21	potentiometric	a/apparent		acidic	116	1; 1; 1; 1; 1; 1	6	7803; 2897; 96; 98; 99; 100	-0.23170434	0.23652235	
daE@B@XIRYVkh@`@@	2.46	22	mean from 5	b2/apparent	NH%+&	basic	117	1; 1	2	126; 113	-0.4248137	-0.007684741	
daE@B@XIRfVi`HH@@	-4.17	25		b2/apparent	N(1+)-H	basic	118	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 127; 72; 73; 92; 119; 109	0.4389531	0.6350105	
daE@B@XIRfWi`HH@@	-4.42	25		b2/apparent	N(1+)-H	basic	119	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 127; 72; 73; 92; 109; 118	0.46185863	0.6327902	
daE@B@XIRfWijjjRJJH@	5.23	25	potentiometric	b2/apparent		basic	120	1; 1	2	128; 121	0.24923284	0.5681162	
daE@B@XIRfWijjjRJJh@	5.29	25	mean from 2	a1/apparent		basic	121	1; 1	2	128; 120	0.27255034	0.563731	
daE@B@XIrQRXxUUUIEFT@@	5.52	25		a1/thermodynamic	NH	basic	122		0		-0.94091004	0.14658539	
daE@B@hIRe[I`BH@@	-2.17	20	spectrophotometric	a2/apparent		basic	123	0.95174; 0.95174; 1	3	2982; 2980; 89	0.15083283	0.761323	
daE@B@hIRfupjjjRJLh@	5.68	25		a1/thermodynamic	NH	basic	124	1; 1; 0.9615; 0.9615; 1	5	7812; 7811; 2287; 1858; 125	0.4532617	0.30306673	
daE@B@hIRfupjjjrJLHH`@	3.68	25		a1/thermodynamic	NH	basic	125	1; 1; 0.9615; 0.9615; 1	5	7812; 7811; 2287; 1858; 124	0.46268114	0.2836221	
daE@B@xIRYWih@H@@	2.86	21	mean from 10	a1/apparent		basic	126	1; 1	2	113; 117	-0.38712648	-0.01813764	
daE@B@xIRfYk`H`@@	-4.48	25		b2/apparent	N(1+)-H	basic	127	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	7806; 7796; 7786; 7299; 7292; 7289; 2909; 2900; 1522; 1515; 72; 73; 92; 109; 118; 119	0.47710228	0.64678884	
daE@B@xIRfYkjjjRDd@	5.4	25	potentiometric	b2/apparent		basic	128	1; 1	2	120; 121	0.26194555	0.5844077	
daE@B@{iRe]J`@h@@	4.05	25	potentiometric	a2/apparent		basic	129	1	1	131	0.7209441	-0.4080629	
daE@B@{iRfUi`HH@@	3.1	30	potentiometric	a1/thermodynamic		basic	130	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	4312; 4311; 4310; 2906; 2905; 2904; 1521; 1520; 1519; 646; 645; 644	0.0689733	-0.6489895	
daE@B@{irQIPeP@T@@	3.71	25	potentiometric	a2/apparent		basic	131	1	1	129	0.7235889	-0.42974877	
