CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	
36167-63-2	Halofantrine hydrochloride	3-(dibutylamino)-1-[1,3-dichloro-6-(trifluoromethyl)phenanthren-9-yl]propan-1-ol hydrochloride	MI, 13, 4609	Ann Trop Med Parasitol. 1997 Oct 91(7):867-73	26.03.1985	1988	Yes	P01BX01					Oral	GI tract				1500	Diarrhoea, Electrocardiogram disturbances, Hypersensitivity reactions, Nausea, Pruritus			Metabolism	Antimalarial	ed\XHF@A``HaRHjdFiCjPabLbbbTRTvRbVtblRRRC@dfgbT@@DDEEUUUU@PVD@@		3 - 6			24 - 48			
23964-57-0	Articaine hydrochloride	methyl 4-methyl-3-[2-(propylamino)propanoylamino]thiophene-2-carboxylate hydrochloride	MI, 13, 1884	Br Dent J. 2011 Apr 9 210(7):323-9	17.12.1974	1976	Yes	N01BB08		Chemical classification (according ATC code)	Amides		Parenteral			Liver			Lipothymia	Ion channel	Voltage-gated sodium channel	Central Nervous System	Anesthetic	fbyQa@N^EJpHb@Q`TTRTRvabrHrfYjfjj`x`@		0.5			1.83			
58652-20-3	Nomegestrol acetate	[(8S,9S,10R,13S,14S,17R)-17-acetyl-6,13-dimethyl-3-oxo-1,2,8,9,10,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-17-yl] acetate		Drugs. 2010 Mar 26 70(5):541-59	21.06.1978	1985		G03DB04					Oral		Plasmatic proteins				Amenorrhoea, Hypersensitivity reactions, Insomnia, Menstrual disturbances, Weight gain	Nuclear receptor	Progesterone receptor	Endocrinology	Contraceptive	fmo@P@@E{OHhdihedeMDhUEJ\UiwhyZZfjjjjfZjYqJVeZ^TX@		2	96 - 97		40			
15500-66-0	Pancuronium bromide	[(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-17-acetyloxy-10,13-dimethyl-2,16-bis(1-methylpiperidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate dibromide	MI, 13, 7077	Ann Intern Med. 1978 Jan 88(1):64-8	03.02.1967	1968	Yes	M03AC01	H2O, CHCl3	Chemical classification (according ATC code)	Quaternary ammonium		Parenteral		Plasmatic proteins	Liver	Active (3-hydroxy pancuronium bromide)		Burning, Hypersensitivity reactions, Hypertension, Miosis, Rash, Tachycardia			Neuromuscular	Muscle relaxant	emWTBDBIHTB@VPLRCD@zCiIag@LhmEDiDdmDmJeMDleHhe]ODfjnemkoiUVjjjjjjjjjjjZjjiQa\SR^SI]RZ[Jy_P@			80					
15622-65-8	Molindone hydrochloride	3-ethyl-2-methyl-5-(morpholin-4-ylmethyl)-1,5,6,7-tetrahydroindol-4-one hydrochloride	MI, 13, 6255	J Clin Psychopharmacol. 1989 Aug 9(4):268-76	30.01.1973	1974	Yes	N05AE02		Chemical classification (according ATC code)	Indole derivative		Oral			Liver		50	Anxiety, Arrhythmia, Constipation, Depression, Drowsiness, Extrapyramidal syndrome, Galactorrhoea, Gynecomastia, Orthostatic hypotension, Sedation, Tachycardia, Urinary troubles			Central Nervous System	Antipsychotic	fjmPb@IV`TDQ`RbbbbfJTJWERudkSUSUUUU@e@@					1.5			
15180-03-7	Alcuronium chloride	4,4'-Didemethyl-4,4'-di-propenyltoxiferin-1-dichloride	MI, 13, 220	Anesth Analg. 1995 Feb 80(2):373-7.	05.03.1963	1963		M03AA01		Chemical classification (according ATC code)	Curare alkaloid		Parenteral						Anaphylactic shock, Hypotension, Tachycardia			Neuromuscular	Muscle relaxant	ebsrDDBE@hmTDpHbBH@zCeIug@LdhheDheLeEEeEEldhdmDkMldiYXdeeuLM]l|bJRjssj[j{SUSUUUURE@EPETuTuCDThqEHXkDdfh|lTRmXPaBRmV`		0.03			0.3 - 0.5			
7481-89-2	Zalcitabine	4-amino-1-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one	MI, 13, 10163	Drugs. 1997 Jun 53(6):1054-80	12.03.1987	1992 Withdrawn (2006)	Yes	J05AF03				Yes	Oral		Plasmatic proteins	Intracellular	Active (zalcitabine triphosphate)	2,25	Dizziness, Gastrointestinal ulceration, Headache, Leucopenia, Nausea, Neutropenia, Peripheral neuropathy, Seizure			Metabolism	Antiviral	foAq`@DXxBSlbbTTtJVhKQffjjjYCEj@@			0 - 5	80	2			
2508-79-4	Methyldopate hydrochloride	ethyl (2S)-2-amino-3-(3,4-dihydroxyphenyl)-2-methylpropanoate hydrochloride	MI, 13, 6080	J Pharmacol Exp Ther. 1975 Oct 195(1):151-8	13.01.1959	1962	Yes	Not yet attributed	H2O													Cardiovascular	Antihypertensive	fdq`R@FPqzHHc@eDiEcDeBxKUUPADPI@@								
79547-78-7	Levocabastine hydrochloride	(3S,4R)-1-[4-cyano-4-(4-fluorophenyl)cyclohexyl]-3-methyl-4-phenylpiperidine-4-carboxylic acid hydrochloride	MI, 13, 5484	Drugs. 1995 Dec 50(6):1032-49	26.08.1981	1991	Yes	R01AC02					Ocular					0,6	Occular irritation			Allergology	Antihistaminic	e`TTDD@C@mc`HbBPpIQIYRIKYQISSQQHl\N^EUO_P@UWUUUTC@EA@b|VRjP@								
76824-35-6	Famotidine	3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide	MI, 12, 3972	Clin Drug Investig. 2013 Sep 33(9):689-97	11.09.1980	1985	Yes	A02BA03	DMSO, AcOH			Yes	Oral	GI tract	Plasmatic proteins	Liver	Sulfoxyde metabolite	40	Constipation, Diarrhoea, Dizziness, Headache	GPCR	Histamine H2 receptor	Gastroenterology	Antiulcer	fbexc@LDXXJ\pP@HdD^BLddNfRRbRrcoKTuUKST@@		1 - 3.5	15 - 20	40	2.6 - 4			
3546-41-6	Pyrvinium pamoate	2-[(E)-2-(2,5-dimethyl-1-phenylpyrrol-3-yl)ethenyl]-N,N,1-trimethylquinolin-1-ium-6-amine  3-carboxy-1-[(3-carboxy-2-oxidonaphthalen-1-yl)methyl]naphthalen-2-olate	MI, 13, 8111	Antimicrob Agents Chemother. 2008 Sep 52(9):3106-12	16.02.1960	Preclinical	Yes	P02CX01 	EtOH	New therapeutic use, Reference	Anti-cancer, Front Oncol. 2012 Oct 2 2:137		Oral	GI tract				350	Headache, Nausea, Red colored stool			Metabolism		gnhM`p@DKfhLnDvPBA`dV[DG[NnRngHihhmDddhXihdi`yEEMEdThhhceLdCHhihlbeEED\idaDaqxJ]IasDryR`rX]N@xRKFsyjmV``HH@`HA`HB@Rfjf`@B@`Dijih@@@HB@@@						0 - 15		
33125-97-2	Etomidate	ethyl 3-(1-phenylethyl)imidazole-4-carboxylate	MI, 13, 3913	Anesthesiology. 2011 Mar 114(3):695-707	21.11.1967	1977	Yes	N01AX07		New therapeutic use, Reference, Therapeutic classification (according ATC code)	Anticortisolic, Eur J Endocrinol. 2012 Aug 167(2):137-43, General anesthetic	Yes	Parenteral		Plasmatic proteins	Liver			Bronchospasm, Nausea			Central Nervous System	Anesthetic, Hypnotic	fdyP`@JJ@cHheDhcMLdIPXmTuU@@dIH@			75		4		4.5	
4310-35-4	Tridihexethyl chloride	(3-cyclohexyl-3-hydroxy-3-phenylpropyl)-triethylazanium chloride	MI, 13, 9735	Neurology. 1991 Nov 41(11):1737-41.	28.12.1954	1954 Withdrawn (2003)	Yes	A03AB08		Chemical classification (according ATC code)	Synthetic anticholinergic, quaternary ammonium compound		Oral					125	Blurred vision, Constipation, Dizziness, Drowsiness, Mouth dryness			Neuromuscular	Antispastic	facaBBOPAD@{txDiEEDddemHTcA]FjBhJbjjJBJ@@								
